M_ItemCode;M_ItemDesc;ItemType;ItemGroup;ItemCategoryID;ItemCategoryName;BaseUoM;SalesUOM;PurchaseUOM
1130309704;SARS-COV 2 ANTIGEN ;REAGEN;ST_IMUNO;1;Persediaan;TEST;TEST;TEST
1130309705;COVID -19 ( SARS-COV-2 ) IgM / IgG ANTIBODY TEST KIT;REAGEN;ST_IMUNO;1;Persediaan;KIT;KIT;KIT
1130309706;DNA  / RNA EXTRAC COVID - 19;REAGEN;ST_IMUNO;1;Persediaan;KIT;KIT;KIT
1130309707;STRIP TUBE 0.2ML;SUPPLIES;ST_IMUNO;1;Persediaan;PAK;PAK;PAK
1130309708;MICROCENTRIFUGE TUBE 1.5ML;SUPPLIES;ST_IMUNO;1;Persediaan;PAK;PAK;PAK
1130309710;ALINITY I SCC CALIBRATOR - 9P33.01;REAGEN;ST_IMUNO;1;Persediaan;KIT;KIT;KIT
1130309711;ALINITY I SCC CONTROL - 9P33.13;REAGEN;ST_IMUNO;1;Persediaan;KIT;KIT;KIT
1130309712;ALINITY I SCC REAGEN 200 T - 9P33.22;REAGEN;ST_IMUNO;1;Persediaan;CATRIDGE;CATRIDGE;KIT
1130309783;ARCHITECH  SARS - COV 2 IgG II QUANT CONTROL  ( 6S60.12 );ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309873;ELECSYS CALSET ANTI TSHR - 8496641190;ST_IMMUN;ST_IMUNO;2;Inventaris;SET;SET;KIT
1130309909;ELECSYS PRECI CTRL HIV G2 - 6924107190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309917;DENGUE IgM / IgG FIA - SD BIOSENSOR ( 10DEN20D );ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;KIT
1130309920;FEBRILE NEGATIVE CONTROL -  POLYVALENT NEGATIVE 1 x 1ml  FORTRESS  - FEBNCO01;ST_IMMUN;ST_IMUNO;2;Inventaris;VIAL;VIAL;VIAL
1130309921;FEBRILE POSITIVE  CONTROL -  POLYVALENT POSITIVE 1 x 1ml  FORTRESS  - FEBPCO01;ST_IMMUN;ST_IMUNO;2;Inventaris;VIAL;VIAL;VIAL
1130309930;HIV 1.2.0 RAPID TEST CASSETTE - 25 T ( IHIV-C42 );ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;TEST
1130309918;ELECSYS TG II E 2 G 300 TEST - 8906564190 ;ST_IMMUN;ST_IMUNO;1;Persediaan;KIT;KIT;KIT
1130309914;STANDART F NS 1 Ag FIA - SD BIOSENSOR ( 10DEN10D );ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;KIT
1130309915;DENGUE NS 1 Ag 25 TEST - WONDFO;ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;KIT
1130309960;BRAHMS PLGF PLUS K - CAL ( BR 85991 );ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309959;BRAHMS PLGF PLUS K - 075 ( BR 859.075 );ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309961;BRAHMS PLGF PLUS K - QC ( BR 85992 );ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309968;ELECSYS CMV IgG E2G 300 V2 - 9118551190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309787;ELECSYS TSH 300 T -  8443432190 ;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309992;MEDICHECK COVID 19 - ANTIGEN TEST KIT COLLOIDAL GOLD 25 T ;ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;KIT
1130309993;INTERSKALA  COVID 19 ( SARS -CoV - 2 ) ANTIGEN TEST KIT COLLOIDAL GOLD 25 T  ( NASAL SWAB );ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;KIT
1130310008;HIV 1/2  Ab 3 - LINE ( FAST CLEAR Q ) - STANDART BIOSENSOR  REF.FCQ-HIV-01A;ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;KIT
1130200084;ARCH CONC. WASH BUFFER - 6C54.58;ST_IMMUN;ST_IMUNO;2;Inventaris;BOTOL;BOX;BOX
1139800500;NEEDLE EMG MONOPOLAR 37 MM ( 28 G ) ORANGE 48 PER PK;SUPPLIES;ST_IMUNO;1;Persediaan;PCS;PCS;PCS
1130309234;ROCHE CARDIAC CTRL D-DIMER  COBAS h 232  2 X 1 ml  -  4890523190;ST_IMMUN;ST_IMUNO;2;Inventaris;PCS;KIT;KIT
1130309255;ANTI HSV 1 IgG - ALEGRIA ( ORG903G );ST_IMMUN;ST_IMUNO;2;Inventaris;STRIP;KIT;KIT
1130100051;ARCH MULTI M DILUENT - 7D82.50;"";ST_IMUNO;;;KIT;KIT;KIT
1130309240;ARCH FREE T4 RGT - 7K65.29;"";ST_IMUNO;;;KIT;KIT;KIT
1130309238;AMH GEN II ELISA / 96 TEST KAT. A79765;ST_IMMUN;ST_IMUNO;1;Persediaan;KIT;KIT;KIT
1130309241;ARCH FREE T4 CALIB  - 7K65.02;"";ST_IMUNO;;;KIT;KIT;KIT
1130309230;ROCHE CARDIAC D-DIMER COBAS h 232 - 4877802190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309874;RF AIM  100 TEST;ST_IMMUN;ST_IMUNO;1;Persediaan;KIT;KIT;KIT
1130309875;"ELECSYS DILUENT MULTI ASSAY 45,2 ML  - 7299010190";ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309957;KHB DIAGNOSTIC KIT FOR HIV ( 1 + 2 ) ANTIBODY COLLOIDAL GOLD V2 - KHB KH-R-02;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309973;ANTI HELICOBACTER PYLORI IgG - ALEGRIA ( ORG917G );ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309988;ELECSYS PRO CELL M  2 X 2L - 4880340190;ST_IMMUN;ST_IMUNO;2;Inventaris;BOTOL;BOTOL;BOX
1130309888;PROTEIN CONTROL  MISPA i3 ( 1 X 1 ML ) ;ST_IMMUN;ST_IMUNO;2;Inventaris;VIAL;VIAL;VIAL
1130309919;HIV -1/2 3.0 ( MULTI )  - SD BIOLINE ( 03FK11 )  100 TEST / KIT;ST_IMMUN;ST_IMUNO;1;Persediaan;TEST;TEST;KIT
1139800958;COLOR SCALE TUBEX ( MAGNET TUBE ) ;ST_IMMUN;ST_IMUNO;2;Inventaris;PCS;PCS;PCS
1130309913;CRP 4 500 T  COBAS C PRACK GREEN - 8057591190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309926;ELECSYS TOTAL PSA COBAS E 100 V3 - 8791686190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309927;ELECSYS TOTAL PSA CALSET G2 V3 - 8838534190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309929;ELECSYS ANTI TSHR COBAS E 100 V2 - 8496609190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130310027;ELECSYS FREE T4 G4 COBAS E 200 - 9043276190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130310028;ELECSYS TSH CS V3 - 8443459190;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
1130309928;ENZYME IMMUNOASSAY FOR THE QUANTITATIVE DETERMINATION OF LEPTIN ELISA - DEMEDITEC;ST_IMMUN;ST_IMUNO;2;Inventaris;KIT;KIT;KIT
