M_ItemCode;M_ItemDesc;ItemType;ItemGroup;ItemCategoryID;ItemCategoryName;BaseUoM;SalesUOM;PurchaseUOM
1130200117;ELEKTRODE SODIUM ( Na ) - 3110419180;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130200001;PRECINORM U (651257);ST_KIMIA;ST_KIMIA;2;Inventaris;VIAL;VIAL;VIAL
1130200002;PRECIPATH U (651265);ST_KIMIA;ST_KIMIA;2;Inventaris;VIAL;VIAL;VIAL
1130200875;ABBOTT CHOLESTEROL 2 - 1000 T (4S92.20 );ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130208913;START 1000 T - COBAS C 503 - 8059322190;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130400539;ASAM ASETAT 6% - 1000 ML;ST_KIMIA;ST_ULFL ;2;Inventaris;BOTOL;BOTOL;BOTOL
1130208944;TINA QUANT A β-2 MICROGLOBULIN  - 11660551216;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130200851;ALINITY C IRON 2300 T - 8P39.20;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130200852;ALINITY C IRON CALBRATOR - 4U75.01;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130200849;C - REACTIVE PROTEIN ( LATEX ) GEN 3 -  CRPL 3 - 8057575190;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130400552;LIQUICHEK URINALYSIS CTRL BIORAD  - BILEVEL ( LEVEL 1 & 2 )  KAT. 435;ST_KIMIA;ST_UL;2;Inventaris;VIAL;VIAL;VIAL
1130209017;ALBUMIN FS - 102209910022  - PROLINE ;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130209021;ISE REFERENCE ELECTROLYTE 300 ML - 11360981216;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130208902;CC URIC ACID 1300 TEST - 3P39.22;ST_KIMIA;ST_KIMIA;1;Persediaan;KIT;KIT;KIT
1130208903;ABBOTT CREATININ 3600T - 4S95.20;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130400542;STERIZYME 5 LITER - J1001;ST_KIMIA;ST_ULFL ;2;Inventaris;GALON;GALON;GALON
1130208969;ABBOTT ALBUMIN BCG 2 1044 T - 4T34.20;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130208970;ABBOTT ALANINE AMINOTRANSFERASE / ALT ( 1200 T ) - 4S88.20;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130208980;ALINITY C TOTAL BILIRUBIN 2750 T - 4V51.21;ST_KIMIA;ST_KIMIA;2;Inventaris;BOTOL;BOTOL;KIT
1130208901;TOTAL PROTEIN GEN 2  c 503 - 8058652190;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130200842;BIL D2 1000T COBAS C 503 - 8056951190;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130200843;BILT3 1050 T COBAS C 503 - 8056960190;ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
1130200014;CC ACID WASH - 6K01.20;ST_KIMIA;ST_KIMIA;2;Inventaris;BOTOL;KIT;KIT
1130200015;MULTI CLEAN - 11360418316;ST_KIMIA;ST_KIMIA;2;Inventaris;BOTOL;BOTOL;KIT
1130200016;CUP SAMPLE HITACHI;ST_KIMIA;ST_CL;2;Inventaris;PAK;PAK;PAK
1130200017;CC TRIGLYSERIDE - 7D74.21;ST_KIMIA;ST_KIMIA;2;Inventaris;BOTOL;KIT;KIT
1130200019;CC ALT / ALANINE AMINOTRANSFERASE   - 7D56.21;ST_KIMIA;ST_KIMIA;2;Inventaris;SET;KIT;KIT
1130200021;CC CHOLESTEROL - 7D62.21;ST_KIMIA;ST_KIMIA;2;Inventaris;BOTOL;KIT;KIT
1130200022;CC AST / ASPARTATE AMINOTRANFERASE - 7D81.21;ST_KIMIA;ST_KIMIA;2;Inventaris;SET;KIT;KIT
1130200023;CTRL LP(A) DAICHI H ( 228001 );ST_KIMIA;ST_KIMIA;2;Inventaris;VIAL;VIAL;VIAL
1130200024;CTRL LP(A) DAICHI L ( 227998 );ST_KIMIA;ST_KIMIA;2;Inventaris;VIAL;VIAL;VIAL
1130200041;APO B AUTO N DAIICHI ( 241819 );ST_KIMIA;ST_KIMIA;2;Inventaris;KIT;KIT;KIT
