M_ItemID;M_ItemCode;M_ItemDesc;Nat_ItemItemType;M_ItemItem_CategoryID;M_ItemInventoryCode;Nat_ItemItemGroup;M_ItemNat_GroupID;M_ItemNat_SubGroupID;M_ItemFa_ClassID;Nat_ItemBaseUOM;M_ItemItem_UnitID;M_ItemIsActive;M_ItemCreated;M_ItemLastUpdated;M_ItemM_UserID
64;1130200117;ELEKTRODE SODIUM ( Na ) - 3110419180;ST_KIMIA;2;;ST_KIMIA;1;5;;KIT;;Y;2025-02-14 11:51:55;2025-02-10 11:09:00;500
65;1130100162;CELL PACK DFL - AR 829 995 1 LITER ( XN 1000 );SUPPLIES;2;;ST_HEMA;1;1;;BOX;;Y;2025-02-14 10:30:44;2025-02-10 11:09:00;500
66;1130100001;GOLONGAN DARAH ANTI A ;"";1;;ST_HEMA;1;1;;BOTOL;;Y;2025-02-14 10:30:51;2025-02-10 11:09:00;500
67;1130100002;GOLONGAN DARAH ANTI B;"";1;;ST_HEMA;1;1;;BOTOL;;Y;2025-02-14 10:31:04;2025-02-10 11:09:00;500
68;1130100003;GOLONGAN DARAH ANTI A ANTI B ;"";1;;ST_HEMA;1;1;;BOTOL;;Y;2025-02-14 10:31:04;2025-02-10 11:09:00;500
69;1130200001;PRECINORM U (651257);ST_KIMIA;2;;ST_KIMIA;1;5;;VIAL;;Y;2025-02-14 11:51:55;2025-02-10 11:09:00;500
70;1130200002;PRECIPATH U (651265);ST_KIMIA;2;;ST_KIMIA;1;5;;VIAL;;Y;2025-02-14 11:51:55;2025-02-10 11:09:00;500
71;1130309704;SARS-COV 2 ANTIGEN ;REAGEN;1;;ST_IMUNO;1;6;;TEST;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
72;1139800760;NEEDLE QUICKHEEL LANCET ;SUPPLIES;1;;ST_CL;;;;PCS;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
73;1139800761;NURSE CUP;SUPPLIES;1;;ST_CL;;;;PCS;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
74;1139901743;BOX FILE WARNA (  PLASTIK );CETAKAN;2;;ST_CETAK;;;;PCS;;Y;2025-02-10 13:08:56;2025-02-10 11:09:00;500
75;1139800762;HAZMAT DEWASA;SUPPLIES;1;;ST_CL;;;;PCS;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
76;1139800763;HAZMAT ANAK-ANAK;SUPPLIES;1;;ST_CL;;;;PCS;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
77;1139800764;HAZMAT GOWN;SUPPLIES;1;;ST_CL;;;;PCS;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
78;1139800765;OBAT KUMUR;SUPPLIES;1;;ST_CL;;;;BOTOL;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
79;1139800766;FACE SHIELD / PELINDUNG WAJAH;SUPPLIES;1;;ST_CL;;;;PCS;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
80;1130309705;COVID -19 ( SARS-COV-2 ) IgM / IgG ANTIBODY TEST KIT;REAGEN;1;;ST_IMUNO;1;6;;KIT;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
81;1130309706;DNA  / RNA EXTRAC COVID - 19;REAGEN;1;;ST_IMUNO;1;6;;KIT;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
82;1130309707;STRIP TUBE 0.2ML;SUPPLIES;1;;ST_IMUNO;1;6;;PAK;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
83;1130309708;MICROCENTRIFUGE TUBE 1.5ML;SUPPLIES;1;;ST_IMUNO;1;6;;PAK;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
84;1130309709;VTM SWAB COVID19;REAGEN;1;;ST_CL;;;;PCS;;Y;2025-02-10 13:08:56;2025-02-10 11:09:00;500
85;1130309710;ALINITY I SCC CALIBRATOR - 9P33.01;REAGEN;1;;ST_IMUNO;1;6;;KIT;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
86;1139901742;DEVIDER / PEMBATAS A4 ( JAN - DEC ) - 6059;ST_PELAYANAN;2;;ST_CETAK;;;;PCS;;Y;2025-02-10 13:08:56;2025-02-10 11:09:00;500
87;1139901739;FORMULIR PEMERIKSAAN dr. MED. SANDJAJA;SUPPLIES;1;;ST_CETAK;;;;BUKU;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
88;1139901740;DOCUMENT KEEPER / CLEAR HOLDER  ISI 20 ( A4 );ST_ADMIN;2;;ST_UMUM;;;;PCS;;Y;2025-02-10 13:08:56;2025-02-10 11:09:00;500
89;1139901741;ISOLASI AUTOCLAVE;ATK;2;;ST_RTU;;;;ROLL;;Y;2025-02-10 13:08:56;2025-02-10 11:09:00;500
90;1130309711;ALINITY I SCC CONTROL - 9P33.13;REAGEN;1;;ST_IMUNO;1;6;;KIT;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
91;1130309712;ALINITY I SCC REAGEN 200 T - 9P33.22;REAGEN;1;;ST_IMUNO;1;6;;CATRIDGE;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
92;1139800772;MASKER KN 95;SUPPLIES;1;;ST_LK;;;;PCS;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
93;1130200875;ABBOTT CHOLESTEROL 2 - 1000 T (4S92.20 );ST_KIMIA;2;;ST_KIMIA;1;5;;KIT;;Y;2025-02-14 11:51:55;2025-02-10 11:09:00;500
94;1130309783;ARCHITECH  SARS - COV 2 IgG II QUANT CONTROL  ( 6S60.12 );ST_IMMUN;2;;ST_IMUNO;1;6;;KIT;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
95;1139902032;AMPLOP MEDICAL USG ( KLINIK UTAMA );SUPPLIES;1;;ST_CETAK;;;;LEMBAR;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
96;1130309873;ELECSYS CALSET ANTI TSHR - 8496641190;ST_IMMUN;2;;ST_IMUNO;1;6;;SET;;Y;2025-02-14 11:46:03;2025-02-10 11:09:00;500
97;1139902050;COMPANY PROFILE PRAMITA LAB. - ( LIPAT A4 );CETAKAN;2;;ST_CETAK;;;;LEMBAR;;Y;2025-02-10 13:08:56;2025-02-10 11:09:00;500
98;1139800916;KAPAS BOLA 75 GRAM ( ONE MED ) ;SUPPLIES;1;;ST_SUPPL;;;;PACK;;Y;2025-02-10 11:25:17;2025-02-10 11:09:00;500
99;1130208913;START 1000 T - COBAS C 503 - 8059322190;ST_KIMIA;2;;ST_KIMIA;1;5;;KIT;;Y;2025-02-14 11:51:55;2025-02-10 11:09:00;500
