M_ItemCode,M_ItemDesc,ItemType,ItemGroup,ItemCategoryName,BaseUOM,PurchaseUOM
1130200117,ELEKTRODE SODIUM ( Na ) - 3110419180,ST_KIMIA,ST_KIMIA,Inventaris,KIT,KIT
1130100162,CELL PACK DFL - AR 829 995 1 LITER ( XN 1000 ),SUPPLIES,ST_HEMA,Inventaris,BOX,BOX
1130100001,GOLONGAN DARAH ANTI A ,"",ST_HEMA,Persediaan,BOTOL,BOTOL
1130100002,GOLONGAN DARAH ANTI B,"",ST_HEMA,Persediaan,BOTOL,BOTOL
1130100003,GOLONGAN DARAH ANTI A ANTI B ,"",ST_HEMA,Persediaan,BOTOL,BOTOL
1130200001,PRECINORM U (651257),ST_KIMIA,ST_KIMIA,Inventaris,VIAL,VIAL
1130200002,PRECIPATH U (651265),ST_KIMIA,ST_KIMIA,Inventaris,VIAL,VIAL
1130309704,SARS-COV 2 ANTIGEN ,REAGEN,ST_IMUNO,Persediaan,TEST,TEST
1139800760,NEEDLE QUICKHEEL LANCET ,SUPPLIES,ST_CL,Persediaan,PCS,PCS
1139800761,NURSE CUP,SUPPLIES,ST_CL,Persediaan,PCS,PCS
1139901743,BOX FILE WARNA (  PLASTIK ),CETAKAN,ST_CETAK,Inventaris,PCS,PCS
1139800762,HAZMAT DEWASA,SUPPLIES,ST_CL,Persediaan,PCS,PCS
1139800763,HAZMAT ANAK-ANAK,SUPPLIES,ST_CL,Persediaan,PCS,PCS
1139800764,HAZMAT GOWN,SUPPLIES,ST_CL,Persediaan,PCS,PCS
1139800765,OBAT KUMUR,SUPPLIES,ST_CL,Persediaan,BOTOL,BOTOL
1139800766,FACE SHIELD / PELINDUNG WAJAH,SUPPLIES,ST_CL,Persediaan,PCS,PCS
1130309705,COVID -19 ( SARS-COV-2 ) IgM / IgG ANTIBODY TEST KIT,REAGEN,ST_IMUNO,Persediaan,KIT,KIT
1130309706,DNA  / RNA EXTRAC COVID - 19,REAGEN,ST_IMUNO,Persediaan,KIT,KIT
1130309707,STRIP TUBE 0.2ML,SUPPLIES,ST_IMUNO,Persediaan,PAK,PAK
1130309708,MICROCENTRIFUGE TUBE 1.5ML,SUPPLIES,ST_IMUNO,Persediaan,PAK,PAK
1130309709,VTM SWAB COVID19,REAGEN,ST_CL,Persediaan,PCS,PCS
1130309710,ALINITY I SCC CALIBRATOR - 9P33.01,REAGEN,ST_IMUNO,Persediaan,KIT,KIT
1139901742,DEVIDER / PEMBATAS A4 ( JAN - DEC ) - 6059,ST_PELAYANAN,ST_CETAK,Inventaris,PCS,PCS
1139901739,FORMULIR PEMERIKSAAN dr. MED. SANDJAJA,SUPPLIES,ST_CETAK,Persediaan,BUKU,BUKU
1139901740,DOCUMENT KEEPER / CLEAR HOLDER  ISI 20 ( A4 ),ST_ADMIN,ST_UMUM,Inventaris,PCS,PCS
1139901741,ISOLASI AUTOCLAVE,ATK,ST_RTU,Inventaris,ROLL,ROLL
1130309711,ALINITY I SCC CONTROL - 9P33.13,REAGEN,ST_IMUNO,Persediaan,KIT,KIT
