Nat_ItemID;ItemCode;DocKey;Description;Desc2;FurtherDescription;ItemGroup;ItemType;AssemblyCost;LeadTime;StockControl;HasSerialNo;HasBatchNo;DutyRate;Taxtype;Note;ImageFileName;CostingMethod;SalesUOM;PurchaseUOM;ReportUOM;LastModified;LastModifiedUserID;CreatedTimeStamp;CreatedUserID;IsActive;LastUpdate;SNFormatName;IsCalcBonusPoint;MarkupRatio;HasPromoter;GlobalCode;ItemBrand;ItemModel;LeadTimeDay;ExternalLink;Discontinued;AutoUOMConversion;BaseUOM;BackOrderControl;PurchaseTaxType
1;1130200117;37830171;ELEKTRODE SODIUM ( Na ) - 3110419180;"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;2030-05-08 00:00:00;1;2012-07-07 00:00:00;0;T;11;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
2;1130100162;37830172;CELL PACK DFL - AR 829 995 1 LITER ( XN 1000 );"";"";ST_HEMA;SUPPLIES;"";"";T;F;T;0;"";"";"";1;BOX;BOX;BOX;0000-00-00 00:00:00;1;2055-06-03 00:00:00;0;T;2;"";T;"";F;"";"";"";"";"";F;T;BOX;T;""
3;1130100001;37830173;GOLONGAN DARAH ANTI A ;"";"""{tf1ansiansicpg1252deff0defl";ST_HEMA;"";"";"";T;F;T;0;"";"""{tf1ansiansicpg1252deff0defl";"";1;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;13;"";"";"";F;"";"";"";"";"";F;"";BOTOL;T;""
4;1130100002;37830174;GOLONGAN DARAH ANTI B;"";"""{tf1ansiansicpg1252deff0defl";ST_HEMA;"";"";"";T;F;T;0;"";"""{tf1ansiansicpg1252deff0defl";"";1;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;15;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
5;1130100003;37830175;GOLONGAN DARAH ANTI A ANTI B ;"";"""{tf1ansiansicpg1252deff0defl";ST_HEMA;"";"";"";T;F;T;0;"";"""{tf1ansiansicpg1252deff0defl";"";1;BOTOL;BOTOL;BOTOL;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;15;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
6;1130200001;37830176;PRECINORM U (651257);"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;VIAL;VIAL;VIAL;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;5;"";T;"";F;"";"";"";"";"";F;T;VIAL;T;""
7;1130200002;37830177;PRECIPATH U (651265);"";"";ST_KIMIA;ST_KIMIA;"";"";T;F;T;0;"";"";"";1;VIAL;VIAL;VIAL;0000-00-00 00:00:00;0;2014-12-06 00:00:00;0;T;6;"";T;"";F;"";"";"";"";"";F;T;VIAL;T;""
8;1130309704;37830178;SARS-COV 2 ANTIGEN ;"";"";ST_IMUNO;REAGEN;"";"";T;F;T;0;"";"";"";1;TEST;TEST;TEST;2057-12-00 00:00:00;0;2057-12-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;TEST;T;""
9;1139800760;37830179;NEEDLE QUICKHEEL LANCET ;"";"";ST_CL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
10;1139800761;37830180;NURSE CUP;"";"";ST_CL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
11;1139901743;37830181;BOX FILE WARNA (  PLASTIK );"";"";ST_CETAK;CETAKAN;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
12;1139800762;37830182;HAZMAT DEWASA;"";"";ST_CL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
13;1139800763;37830183;HAZMAT ANAK-ANAK;"";"";ST_CL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
14;1139800764;37830184;HAZMAT GOWN;"";"";ST_CL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
15;1139800765;37830185;OBAT KUMUR;"";"";ST_CL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;BOTOL;BOTOL;BOTOL;2014-09-05 00:00:00;0;0000-00-00 00:00:00;0;T;2;"";T;"";F;"";"";"";"";"";F;T;BOTOL;T;""
16;1139800766;37830186;FACE SHIELD / PELINDUNG WAJAH;"";"";ST_CL;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
17;1130309705;37830187;COVID -19 ( SARS-COV-2 ) IgM / IgG ANTIBODY TEST KIT;"";"";ST_IMUNO;REAGEN;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;2021-02-02 00:00:00;0;T;3;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
18;1130309706;37830188;DNA  / RNA EXTRAC COVID - 19;"";"";ST_IMUNO;REAGEN;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
19;1130309707;37830189;STRIP TUBE 0.2ML;"";"";ST_IMUNO;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PAK;PAK;PAK;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;PAK;T;""
20;1130309708;37830190;MICROCENTRIFUGE TUBE 1.5ML;"";"";ST_IMUNO;SUPPLIES;"";"";T;F;T;0;"";"";"";1;PAK;PAK;PAK;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;PAK;T;""
21;1130309709;37830191;VTM SWAB COVID19;"";"";ST_CL;REAGEN;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;3;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
22;1130309710;37830192;ALINITY I SCC CALIBRATOR - 9P33.01;"";"";ST_IMUNO;REAGEN;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
23;1139901742;37830193;DEVIDER / PEMBATAS A4 ( JAN - DEC ) - 6059;"";"";ST_CETAK;ST_PELAYANAN;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;4;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
24;1139901739;37830194;FORMULIR PEMERIKSAAN dr. MED. SANDJAJA;"";"";ST_CETAK;SUPPLIES;"";"";T;F;T;0;"";"";"";1;BUKU;BUKU;BUKU;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;3;"";T;"";F;"";"";"";"";"";F;T;BUKU;T;""
25;1139901740;37830195;DOCUMENT KEEPER / CLEAR HOLDER  ISI 20 ( A4 );"";"";ST_UMUM;ST_ADMIN;"";"";T;F;T;0;"";"";"";1;PCS;PCS;PCS;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;5;"";T;"";F;"";"";"";"";"";F;T;PCS;T;""
26;1139901741;37830196;ISOLASI AUTOCLAVE;"";"";ST_RTU;ATK;"";"";T;F;T;0;"";"";"";1;ROLL;ROLL;ROLL;0000-00-00 00:00:00;0;0000-00-00 00:00:00;0;T;1;"";T;"";F;"";"";"";"";"";F;T;ROLL;T;""
27;1130309711;37830197;ALINITY I SCC CONTROL - 9P33.13;"";"";ST_IMUNO;REAGEN;"";"";T;F;T;0;"";"";"";1;KIT;KIT;KIT;0000-00-00 00:00:00;1;0000-00-00 00:00:00;0;T;2;"";T;"";F;"";"";"";"";"";F;T;KIT;T;""
28;1130309712;37830198;ALINITY I SCC REAGEN 200 T - 9P33.22;"";"";ST_IMUNO;REAGEN;"";"";T;F;T;0;"";"";"";1;CATRIDGE;KIT;CATRIDGE;0000-00-00 00:00:00;4;0000-00-00 00:00:00;0;T;3;"";T;"";F;"";"";"";"";"";F;T;CATRIDGE;T;""
