nama_klasifikasi_barang,jumlah,kd_inventaris,nama_barang
KURSI TUNGGU,5,03.02.04,BANGKU PASIEN BANQUET DARKBROWN
KURSI TUNGGU,5,03.02.04,HEINZ CHAIR RED GOLD LEG 54 x 60
KURSI TUNGGU,101,03.02.04,KURSI
KURSI TUNGGU,1,03.02.04,Kursi  Bulat Biru
KURSI TUNGGU,2,03.02.04,KURSI  CHITOSE
KURSI TUNGGU,3,03.02.04,KURSI  PASIEN FO
KURSI TUNGGU,2,03.02.04,KURSI ABU ABU
KURSI TUNGGU,8,03.02.04,KURSI ABU HITAM
KURSI TUNGGU,13,03.02.04,Kursi Aula
KURSI TUNGGU,2,03.02.04,KURSI BAKSO
KURSI TUNGGU,2,03.02.04,KURSI BANGKU FOREST GREEN
KURSI TUNGGU,20,03.02.04,KURSI BANQUET ABU
KURSI TUNGGU,2,03.02.04,KURSI BAR
KURSI TUNGGU,7,03.02.04,KURSI BATIK
KURSI TUNGGU,1,03.02.04,Kursi Batik (1)
KURSI TUNGGU,1,03.02.04,Kursi Batik (10)
KURSI TUNGGU,1,03.02.04,Kursi Batik (11)
KURSI TUNGGU,1,03.02.04,Kursi Batik (12)
KURSI TUNGGU,1,03.02.04,Kursi Batik (13)
KURSI TUNGGU,1,03.02.04,Kursi Batik (14)
KURSI TUNGGU,1,03.02.04,Kursi Batik (15)
KURSI TUNGGU,1,03.02.04,Kursi Batik (16)
KURSI TUNGGU,1,03.02.04,Kursi Batik (17)
KURSI TUNGGU,1,03.02.04,Kursi Batik (18)
KURSI TUNGGU,1,03.02.04,Kursi Batik (19)
KURSI TUNGGU,1,03.02.04,Kursi Batik (2)
KURSI TUNGGU,1,03.02.04,Kursi Batik (20)
KURSI TUNGGU,1,03.02.04,Kursi Batik (21)
KURSI TUNGGU,1,03.02.04,Kursi Batik (22)
KURSI TUNGGU,1,03.02.04,Kursi Batik (23)
KURSI TUNGGU,1,03.02.04,Kursi Batik (24)
KURSI TUNGGU,1,03.02.04,Kursi Batik (25)
KURSI TUNGGU,1,03.02.04,Kursi Batik (26)
KURSI TUNGGU,1,03.02.04,Kursi Batik (27)
KURSI TUNGGU,1,03.02.04,Kursi Batik (28)
