nama_klasifikasi_barang,kd_inventaris,nama_barang
ALAT LAINNYA,06.03.12,0
ALAT LAINNYA,06.03.12,1 SET WADAH BUMBU
ALAT LAINNYA,06.03.12,1 Unit Alat USG
ALAT LAINNYA,06.03.12,1 Unit Rak Server Besar
ALAT LAINNYA,06.03.12,AC ADAPTER
ALAT LAINNYA,06.03.12,AC REFLEKTOR
ALAT LAINNYA,06.03.12,ACRYLIC BANNER
ALAT LAINNYA,06.03.12,ACRYLIC BANNER 1
ALAT LAINNYA,06.03.12,ACRYLIC BANNER 2
ALAT LAINNYA,06.03.12,Adaptor Mini PC
ALAT LAINNYA,06.03.12,Adaptor Mini PC (2)
ALAT LAINNYA,06.03.12,Adaptor Monitor
ALAT LAINNYA,06.03.12,Adaptor PC AIO
ALAT LAINNYA,06.03.12,Adaptor PC AIO (1)
ALAT LAINNYA,06.03.12,Adaptor PC AIO (2)
ALAT LAINNYA,06.03.12,Adaptor Printer
ALAT LAINNYA,06.03.12,Adaptot Mini PC (1)
ALAT LAINNYA,06.03.12,Adaptot PC
ALAT LAINNYA,06.03.12,AIR COMPRESSOR
ALAT LAINNYA,06.03.12,AIR COOLER
ALAT LAINNYA,06.03.12,Aklirik dilarang foto
ALAT LAINNYA,06.03.12,AKRILIK
ALAT LAINNYA,06.03.12,Akrilik (1)
ALAT LAINNYA,06.03.12,Akrilik (2)
ALAT LAINNYA,06.03.12,Akrilik (3)
ALAT LAINNYA,06.03.12,AKRILIK A4
ALAT LAINNYA,06.03.12,AKRILIK A5
ALAT LAINNYA,06.03.12,Akrilik dilarang foto
ALAT LAINNYA,06.03.12,AKRILIK JADWAL TIM BENCANA 
ALAT LAINNYA,06.03.12,AKRILIK SIP DOKTER
ALAT LAINNYA,06.03.12,AKRILIK TIM BENCANA
ALAT LAINNYA,06.03.12,AKRILIK VISI MISI
ALAT LAINNYA,06.03.12,AKSESORIS DINDING
ALAT LAINNYA,06.03.12,Alarm Bell
ALAT LAINNYA,06.03.12,Alarm Bell dan Tombol
ALAT LAINNYA,06.03.12,ALARM LIFE
ALAT LAINNYA,06.03.12,ALAS WADAH KOPI
ALAT LAINNYA,06.03.12,ALAS WADAH TEH
ALAT LAINNYA,06.03.12,Alat Cetak USG (Berwarna)
ALAT LAINNYA,06.03.12,ALAT ECG MAX 5
ALAT LAINNYA,06.03.12,ALAT FISIK LAINNYA Ex. Reaction Timer
ALAT LAINNYA,06.03.12,ALAT LAINNYA
ALAT LAINNYA,06.03.12,ALAT LAINNYA ( EARPOD )
ALAT LAINNYA,06.03.12,ALAT LAINNYA ( KACA MATA )
ALAT LAINNYA,06.03.12,Alat Lainnya ( Koper EKG )
ALAT LAINNYA,06.03.12,ALAT LAINNYA ( KOTAK )
ALAT LAINNYA,06.03.12,Alat Lainnya ( Pemanas Air )
ALAT LAINNYA,06.03.12,Alat Lainnya ( Tempat Gelas Teh & Kopi )
ALAT LAINNYA,06.03.12,Alat Lainnya ( Termohigro )
ALAT LAINNYA,06.03.12,ALAT LAINNYA / FLASHDISK 8 GB
ALAT LAINNYA,06.03.12,ALAT LAINNYA / RAK 3 SUSUN
ALAT LAINNYA,06.03.12,ALAT LAINNYA / RAK BERKAS 3 SUSUN
ALAT LAINNYA,06.03.12,ALAT LAINNYA / RAK PEWARNAAN
ALAT LAINNYA,06.03.12,ALAT LAINNYA / WASTAFEL
ALAT LAINNYA,06.03.12,ALAT LAINNYA Ex. Layar LCD
ALAT LAINNYA,06.03.12,Alat Laminating
ALAT LAINNYA,06.03.12,ALAT PEL BESAR
ALAT LAINNYA,06.03.12,ALAT PEL KAIN
